title,bundle,fanRating,fanRatingCount,Final Album,directory,Shares Elements With,Suggested directory,Suggested title,King Tom,Final song title,Type,album,length,composer,BPM,version,uuid,original_filename
I Don't Feel Enough 2,The White Years,3.55,10,None,,,,I Don't Feel Enough - v2,1.5,,Partial Song,The White Years,55,Rivers Cuomo,89,2,965844eda1694b49bf366c61f89faa5c,I Don't Feel Enough 2
In The Night - 2,The Green Years,3.54,12,None,\The Black Room\C.O.R_,,,In The Night - 2,3.5,In The Night,Full Song,C.O.R_,122,Rivers Cuomo,68,,dfe1535231ea49ab88bc61528043b5a5,080b In the Night 2
something special 6 broken verse @102,The Pacific Daydream Black Years,3.54,12,,,,,,3.5,,Partial Song,The Pacific Daydream Years,65,,102,6,7dee6d3713a74a18ab38ebb5b59a0619,something special 6 broken verse @102
something special 3 verse @102,The Pacific Daydream Black Years,3.53,16,,,,,,2.5,,Partial Song,The Pacific Daydream Years,103,,102,3,014a972bd9aa412ca769ec3b7e5e45d7,something special 3 verse @102
Egos - 2003 Demos,The Make Believe Years,3.5,16,None,\2003 Demos-- Weezer Office,,,Egos - 2003 Demos,3,Egos,Acoustic Full Song,2003 Demos-- Weezer Office,201,Rivers Cuomo,104,,55e3c1c6fb934d7b8218dc88d12c9276,03 egos
Don't Go Hulk 1 @ 120,The Pacific Daydream Black Years,3.53,15,,,,,,2,,Partial Song,The Pacific Daydream Years,32,,120,1,a2f4117263d74e1282deb237c9d1c69f,Don't Go Hulk 1 @ 120
Apples And Oranges 1 AN @59,The Pacific Daydream Black Years,3.5,18,,,,,,2,,Sketch,The Pacific Daydream Years,68,,118,1,da5e844764e7482c8aae5e83688f70d6,Apples And Oranges 1 AN @59
Quick Picture 9,EWBAITE,3.5,17,None,\Demos--Previous Versions,Buddy Holly (bridge),,Quick Picture - v9,3.5,Quick Picture,Full Song,Demos--Previous Versions,211,,100,9,d0c9e32f4b42420db12ead23843b7d3a,Quick Picture 9
20170703_as_hot,The Pacific Daydream Black Years,3.5,14,,\Work,,,,,,,Work,132,,68,,844fb5d429da4bff98a8e15e806d8eda,20170703_as_hot
"102 Beautiful Baby, You Know What I",The Green Years,3.5,11,None,\The Black Room\1998-05 Riverss Sketch Tape,,,"102 Beautiful Baby, You Know What I",2.5,"Beautiful Baby, You Know What I Mean",Voice Memo with Guitar,1998-05 Riverss Sketch Tape,101,,60,,582f097ca2324cd6b1905e99627348af,"102 beautiful baby, you know what i"
Let Go Of Me - 2004-02-20,The Make Believe Years,3.38,12,None,\2004-02-20 SIR Preproduction - Week 4,,,Let Go Of Me - 2004-02-20,2.5,Let Go of Me,Full Song,2004-02-20 SIR Preproduction - Week 4,270,Rivers Cuomo,76,,75fffabceda944b2b95b5e61647fab6e,12 514 Let Go of Me
Sing My Blues Away - v3,EWBAITE,3.5,10,None,\Demos--Previous Versions,,,Sing My Blues Away - v3,4,Sing My Blues Away,Full Song,Demos--Previous Versions,236,,100,3,bc65cca2125c44bcaf292800608ee5f1,Sing My Blues Away 3
Cornbread Balls @113,The White Years,3.5,10,None,,,,,2,,Sketch,The White Years,42,Rivers Cuomo,113,,52ffcaf2957747fa861b5dcea174b29b,Cornbread Balls @113
Show Me That Again 2,The White Years,3.5,10,None,,,,Show Me That Again - v2 pro sketch,2,Show Me That Again,Sketch,The White Years,39,Rivers Cuomo,68,2,a643954f745c43d7bfad906f1244d888,Show Me That Again 2
Hawaii - v5,The White Years,3.5,9,None,\Rivers Cuomo,,,Hawaii - v5,3.5,Hawaii,Full Song,Rivers Cuomo,165,Rivers Cuomo,118,5,ce3981aeabf34c178b43e265437bf074,Hawaii 5
Sepultura - 2,The Green Years,3.5,9,None,\The Black Room\C.O.R_,,,Sepultura - 2,3.5,Sepultura,Full Song,C.O.R_,154,Rivers Cuomo,113,,efe256facd984fc395dc935be6ec5a88,072 Sepultura 2
Subjective 3,Weezma,3.5,9,None,,,,Subjective - v3,2.5,Subjective,Full Song,Weezma,194,,81,3,5de8a0d398944316865890cdf9c30d6e,Subjective 3
The Beach Boys 3 @85,The White Years,3.5,9,None,,Only a Cockroach/Rock and Roll Cockroach,,The Beach Boys - v3 @85 sketch,2.5,,Sketch,The White Years,101,Rivers Cuomo,85,3,fd8f1aa8e0dd477b81aaa2df4de0ba59,The Beach Boys 3 @85
The Life I Never Lived - 2005-06-26 clip,The Make Believe Years,3.5,9,None,\Unknown Album,,,The Life I Never Lived - 2005-06-26 clip,2.5,The Life I Never Lived,Sketch,Unknown Album,26,,70,,78a9f34dce484fc5b5611675b7b37a7c,2005-06-26TheLifeINeverLived
Bells In My Head - v6 won't be long,The White Years,3.5,8,None,\Rivers Cuomo,,,Bells In My Head - v6 won't be long,3,Bells In My Head,Voice Memo with Guitar,Rivers Cuomo,88,Rivers Cuomo,118,,4546864145b5446ab27aef6fb778ae84,bells_6_won't_be_long
Point Blank Range 8,The White Years,3.5,8,None,,Crazy Impossible Days,,Point Blank Range - v8,2,,Full Song,The White Years,178,,65,8,73e9251ffbe247878e1d1d1d192084f1,Point Blank Range 8
The Bells In My Head 3 @115,The White Years,3.5,8,None,,,,,2,,Sketch,The White Years,71,,115,3,eb3629500f684343b3d6878bfdb39c18,The Bells In My Head 3 @115
Why Am I Getting So Upset 7,EWBAITE,3.5,8,None,\2 stars and below,,,Why Am I Getting So Upset - v7,2,Why Am I Getting So Upset,Full Song,Demos--Previous Versions,262,,76,,4ce3488a186148d7ba8eb62b0b698412,Why Am I Getting So Upset 7
Sing My Blues Away - v2,EWBAITE,3.5,7,None,\Demos--Previous Versions,,,Sing My Blues Away - v2,2.5,Sing My Blues Away,Full Song,Demos--Previous Versions,248,,100,2,d0006ae07b864dd591528b83537893a5,Sing My Blues Away 2
You Came To Get Some 2,The White Years,3.5,7,None,\,,,,2.5,You Came to Get Some,Full Song,EWBAITE,200,,118,2,7ae09024c26b41aca3e85218fe1fc47f,You Came To Get Some 2
Sunday Afternoon 2 @138,The White Years,3.5,7,None,,,,,1.5,,Sketch,The White Years,62,,69,2,72cc3f58849a477cad9d7fc0ed098de6,Sunday Afternoon 2 @138
Everybody Waits,The Green Years,3.5,6,None,\C.O.R_,Everybody Wants a Chance to be All Alone,,Everybody Waits,2,Everybody Waits,Sketch,C.O.R_,100,Rivers Cuomo,65,,bcd0187074f1417b87fc1af353c32b73,144 Everybody Waits
Everyone Knows You Came To Get Some 7,EWBAITE,3.5,6,None,,,,Everyone Knows You Came To Get Some - v7,2,Everyone Knows,Full Song,EWBAITE,196,,62,,ddb5505ff6fa46f18cbd98ec54de98ff,Everyone Knows You Came To Get Some 1
Most Valuable Player,Patrick & Rivers,3.5,6,None,,,,,2,,Sketch,Patrick & Rivers,44,Rivers Cuomo and Patrick Wilson,65,,28396d5242e7488b9e869ec1c6472e28,Most Valuable Player
Santa Monica - v3 instrumental,The White Years,3.5,6,,\Unknown Album,,,Santa Monica - v3 instrumental,2,Santa Monica,Instrumental,Unknown Album,140,,118,3,d06200f5b21f4a758e8719579d8a7337,Santa Monica 3
The Summer Of Love 2 @131,The White Years,3.5,6,None,,,,The Summer Of Love - v2 @131 sketch,2,The Summer of Love,Sketch,The White Years,73,Rivers Cuomo,66,2,4c2928e0aca64e5fb1657f883407b94e,The Summer Of Love 2 @131
Why Am I Getting So Upset 9,EWBAITE,3.5,6,None,\2 stars and below,,,Why Am I Getting So Upset - v9,2,Why Am I Getting So Upset,Instrumental,Demos--Previous Versions,274,,72,,8392b4ee9ead42939c3093516546f369,Why Am I Getting So Upset 9
Boy On Fire 1 AW @78 +3,The Pacific Daydream Black Years,3.5,6,,\The Black Album,,,,2,,Sketch,Demos--Previous Versions,75,,78,1,73d2b6af924d47d8b074ee8506825d4c,Boy On Fire 1 AW @78 +3
cupid TWEAKING OUT - ROUGH 1 - SEPT 2,The Pacific Daydream Black Years,3.5,6,,\The Black Album,,,,2,,Sketch,Demos--Previous Versions,88,,93,,c4ecd13e6df74d6e98869ee18ae51f0a,cupid TWEAKING OUT - ROUGH 1 - SEPT 2
break me strum (conflict at 2012-01-,EWBAITE,3.5,5,None,,,,,1.5,Break Me,,EWBAITE,29,Rivers Cuomo,98,,8148b6707fe84ef59a1c67fabe72f354,break me strum (conflict at 2012-01-
Untitled2 2,The Pacific Daydream Black Years,3.5,4,,\The Black Album,,,,2,Why Won't You Love Me?,Sketch,Work,117,,108,,a81d6dc5a61e4dfeac7f0b4f7eaf6877,Untitled2 2
02 Beautiful Baby,The Green Years,3.5,4,None,\The Black Room\1998-06 Rivers's Sketch Tape,,,02 Beautiful Baby,3,Beautiful Baby,Voice Memo With Guitar,1998-06 Rivers's Sketch Tape,82,,65,,98e965f39e3840f7ba0a5c983b0440ec,02 beautiful baby
How Many Places 003,The Green Years,3.5,4,None,\The Black Room\1999 Rivers at TK - Binchy Bingewater,,,How Many Places,3,How Many Places,Full Song,1999 Rivers at TK - Binchy Bingewater,45,Rivers Cuomo,65,,5a4383d92b0e41b282a65c80e8c91201,003 How Many Places
Love Me - v3,EWBAITE,3.5,4,None,\Demos--Previous Versions,,,Love Me - v3,3,Love Me,Full Song,Demos--Previous Versions,210,,65,3,c43257b1fff6416e90c31bfd172bc516,Love Me 3
Pinned With the Blame (track for Rivers),Patrick & Rivers,3.5,4,None,,,,Pinned With the Blame - track for Rivers,3,Pinned With the Blame,Instrumental,Patrick & Rivers,194,Pat Wilson,93,,d2307e2ca0614e59a67a6964d12b4686,Pat Wilson - Pinned With the Blame (track for Rivers)
Wake Up Dry,The Green Years,3.5,4,None,\The Maladroit Years\2 stars and below,,,Wake Up Dry,3,Wake Up Dry,Voice Memo With Guitar,C.O.R_,153,Rivers Cuomo,79,,30956b9e63444d61b9d734e165963824,345 Wake Up Dry
Broken Phone - 2002-10-08,The Green Years,3.5,4,None,\The Maladroit Years\2 stars and below,,,Broken Phone - 2002-10-08,2,Everybody Wants A Chance To Feel All Alone,Full Song,Unknown Album,298,,118,,f2aa6706400f41768c69db780b0ce07d,397 2002-10-08 Broken Phone
Daddy's Girl,The Green Years,3.5,4,None,\The Black Room\C.O.R_,,,Daddy's Girl,2,Daddy's Girl,Sketch,C.O.R_,50,Rivers Cuomo,108,,4058cd3529914476825cb935a1aa1226,033 Daddy's Girl
How Long - v1,The Green Years,3.5,4,None,\The Maladroit Years\2 stars and below,,,How Long - v1,2,How Long,Full Song on Handheld Recorder,C.O.R_,199,,108,,909eaf1cca984725967a3ac30587fef3,296.1 How Long
Lullaby,The Green Years,3.5,4,None,\The Maladroit Years\C.O.R_,,,Lullaby - acoustic COR sketch 1,2,Lullaby,Voice Memo with Guitar,C.O.R_,78,Rivers Cuomo,72,,1ebe6719aee442d1b6e2a610d90a39a0,380 lullaby
The Gift Of Gab - v5,EWBAITE,3.5,4,None,\Demos--Previous Versions,,,The Gift Of Gab - v5,2,The Gift Of Gab,Full Song,Demos--Previous Versions,189,,113,5,c0842dd7f3ac4e338b2b7e80c7c84846,The Gift Of Gab 5
The Good News Channel - v1,EWBAITE,3.5,4,None,\Demos--Previous Versions,,,The Good News Channel - v1,2,The Good News Channel,Full Song,Demos--Previous Versions,179,,118,1,0a44ddacaa554f41ad8b0c0a46d84887,The Good News Channel 1
Until You'Re Blue - v2,The Green Years,3.5,4,None,\The Maladroit Years\C.O.R_,,,Until You're Blue - v2,2,Sandwiches Time,Voice Memo With Guitar,C.O.R_,97,Rivers Cuomo,118,,95ff7f8e3085408ea7a7c92f8ee5b5c8,317.2 Until You're Blue
Untitled1,The Pacific Daydream Black Years,3.5,4,,\Work,,,,,,,Work,371,Rivers Cuomo,62,,5becc94c1bea41939d378fc40dc09e4e,Untitled1 20
We Have Come Together,The Green Years,3.5,4,None,\The Maladroit Years\2 stars and below,,,We Have Come Together,2,We Have Come Together,Voice Memo with Guitar,C.O.R_,168,Rivers Cuomo,87,,b749b04789cf4ce4abbcd970ad961d56,416 we have come together
Your Room,The Green Years,3.5,4,None,\The Maladroit Years\C.O.R_,,,Your Room,2,Your Room,Voice Memo with Guitar,C.O.R_,223,,62,,6b8729f75d85411b9b984fc1edf39184,304 Your Room
397,The Green Years,3.5,4,,\The Maladroit Years\2 stars and below,,,,,,,C.O.R_,120,Rivers Cuomo,104,,f742202338ae42dbab1fe2059ce11566,397
402,The Green Years,3.5,4,,\The Maladroit Years\2 stars and below,,,,,,,C.O.R_,140,Rivers Cuomo,118,,e496457357eb47bfa422d2334d08af86,402
aku melody 1-1#-2sus--,The Pacific Daydream Black Years,3.5,4,,,,,,,,,Ideas\,45,Rivers Cuomo,85,,0293268b042643649c4f677179978a61,aku melody 1-1#-2sus--
Alligator 1 Cricket AG @80,The Pacific Daydream Black Years,3.5,4,,\The Black Album,,,,2,,Partial Song,Demos--Previous Versions,147,,80,1,60b3540e6ee34be186e78db58b1f9a26,Alligator 1 Cricket AG @80
Almost Beautiful 21 pre lyrics @132 +2,The Pacific Daydream Black Years,3.5,4,,\The Black Album,,,,4,,Full Song,Demos--Previous Versions,205,,66,21,78361d7c10ce4645961e971870f4b821,Almost Beautiful 21 pre lyrics @132 +2
Almost Beautiful 9 glasto @125,The Pacific Daydream Black Years,3.5,4,,\The Black Album,,,,2,,Partial Song,Demos--Previous Versions,139,,63,9,1138db68974b48e2bce71ffbb19ee806,Almost Beautiful 9 glasto @125
Stop Comparing Me To Him 3 Piano chorus first @78 -3 BF 11,The Pacific Daydream Black Years,3.5,4,,\The Black Album,,,,2,,Sketch,Demos--Previous Versions,80,,78,3,fee3627d1b8c43c4b74560e107133f20,Stop Comparing Me To Him 3 Piano chorus first @78 -3 BF 11
Empty Inside - v7,EWBAITE,3.5,3,None,\Demos--Previous Versions,,,Empty Inside - v7,3.5,Empty Inside,Full Song,Demos--Previous Versions,232,,65,7,a810f53f1e41493db576be35709e0d70,Empty Inside 7
19 Pinned With The Blame 6_04_07,Patrick & Rivers,3.5,3,None,,,,Pinned With the Blame - 2007-06-04,2.5,Pinned With the Blame,Instrumental,Patrick & Rivers,209,,96,,be11480d4ec342bbb7f1e1a1b40c0fad,19 Pinned With The Blame 6_04_07
I Wanna Be With You,The Green Years,3.5,3,None,\The Maladroit Years\C.O.R_,,,I Wanna Be With You,2.5,Porcupine,Voice Memo With Guitar,C.O.R_,105,Rivers Cuomo,93,,872db5f1268348179987a801fb2cdfe5,340 I Wanna Be With You
MAYBE ALL THE WAY - ROUGH 1 - DEC 27,Weezma,3.5,3,None,,,,Maybe All The Way - rough 1 Dec 27,2.5,Maybe All The Way,Sketch,Weezma,197,,81,,ff1061cde2854643a4cb742575e5b15b,MAYBE ALL THE WAY - ROUGH 1 - DEC 27
My Weakness,The Green Years,3.5,3,None,\The Maladroit Years\2 stars and below,,,My Weakness,2.5,Seafaring Jamb,Voice Memo with Guitar,C.O.R_,121,Rivers Cuomo,67,,1fc2742029d048bd849c432759c7bc39,338 My Weakness
Second Best Hugger In The World - v1 2,EWBAITE,3.5,3,None,\Demos--Previous Versions,,Duplicate,Second Best Hugger In The World - v1 2,2.5,Second Best Hugger In The World,Full Song,Demos--Previous Versions,202,,81,1,288c8ea586bd47a3bf4b1e8444dd4bca,Second Best Hugger In The World 1 2
Sickboy - 2,The Green Years,3.5,3,None,\The Black Room\C.O.R_,,,Sickboy - 2,2.5,Sickboy,Sketch,C.O.R_,64,Rivers Cuomo,118,,bc2a2f86f90449bf90a9c92458816e16,036 Sickboy 2
Weapons Expert,The Green Years,3.5,3,None,\The Black Room\C.O.R_,,,Weapons Expert,2.5,Weapons Expert,Sketch,C.O.R_,48,Rivers Cuomo,93,,28d17073892243899c57ccd01a0068ec,075 Weapons Expert
little_Carla_verse_Melody_2018_4_6_7_40_39,The Pacific Daydream Black Years,3.5,3,,\The Black Album,,,,3.5,,Sketch,Work,143,,82,,206845abfc8c48928969e06f9bcdaba5,little_Carla_verse_Melody_2018_4_6_7_40_39
Expatriate In LA 8,Weezma,3.5,2,None,,,,Expatriate In L.A. - v8,3,Expatriates In Paris,Full Song,Weezma,227,,68,8,83843db8670d43b28c8545eeb814aa60,Expatriate In LA 8
We Are The Indians - v6,EWBAITE,3.5,2,None,\Demos--Previous Versions,"She Has A Way With Words, Do You Wanna Get High",,We Are The Indians - v6,3,We Are The Indians,Full Song,Demos--Previous Versions,227,,118,6,4f5dd3ad540a4306b1114e414053575a,We Are The Indians 6
I'M GETTING FAT - ROUGH 1 - SEPT 8,Weezma,3.5,2,None,,,,I'm Getting Fat - rough 1 Sept 8,2,Expatriates In Paris,Instrumental,Weezma,264,,65,,9d8c6eaf405346b1a72d366e91234b1d,I'M GETTING FAT - ROUGH 1 - SEPT 8
Hippies - 2013-2-13 sketch 2 dup,EWBAITE,3.5,2,None,\2 stars and below,,Duplicate,Hippies - 2013-2-13 sketch 2 dup,,Hippies,Sketch,Work,82,,68,,275accee2d0441d787b99f28a4060b90,Work 2-13-2013 14h37m10s hippies
tense desperate piano 2 2,EWBAITE,3.5,2,None,\voice notes,,Duplicate,,,Let's Go To The 33rd Dimension,,voice notes,48,Rivers Cuomo,62,,63dce61d4bba430a9bdbf99e35d72d87,tense desperate piano 2 2
Friday Feeling 10 insecure @102,The Pacific Daydream Black Years,3.47,16,,,Medicine for Melancholy,,,4.5,Medicine for Melancholy,Full Song,The Pacific Daydream Years,240,,102,10,8567c6d597b640b2a36fd7024a3e28f1,Friday Feeling 10 insecure @102
Almost Beautiful 1 AO @ 109 -1,The Pacific Daydream Black Years,3.46,14,,,,,,2.5,,Partial Song,The Pacific Daydream Years,70,,113,1,cd5f5430b97c41fd827a6504132209f4,Almost Beautiful 1 AO @ 109 -1
"Beethoven Sonata No. 17 in D Minor, 2. Adagio 3. Allegretto 2022-07-30",Piano,3.46,13,,,,,,,,,Piano,3369,,108,,526a410e72c64c6e8303f7a56c6ccf3f,"Beethoven Sonata No. 17 in D Minor, 2. Adagio 3. Allegretto 2022-07-30"
Friday Feeling 5 @102,The Pacific Daydream Black Years,3.46,12,,,Medicine for Melancholy,,,4.5,Medicine for Melancholy,Full Song,The Pacific Daydream Years,239,,102,5,451525fe2b5344f0ae904a9fee219420,Friday Feeling 5 @102
Untitled10_2016_3_7_11_38_50,The Pacific Daydream Black Years,3.45,11,,\Work,,,,,,,Work,817,Rivers Cuomo,65,,b54a945e94fc441a83f6338c5434fa10,Untitled10_2016_3_7_11_38_50
Second Best Hugger In The World - v7,EWBAITE,3.45,10,None,\Demos--Previous Versions,,,Second Best Hugger In The World - v7,2.5,Second Best Hugger In The World,Full Song,Demos--Previous Versions,202,,81,7,a633586b40b44305b2885febbc46dd13,Second Best Hugger In The World 7
Movies And Ice Cream 1 @118,The Pacific Daydream Black Years,3.44,27,,,,,,2,,Sketch,The Pacific Daydream Years,73,,118,1,17b6796d5b7444d09494d6aa1589f5cd,Movies And Ice Cream 1 @118
Get Me Mine - da 6 acoustic demo,EWBAITE,3.44,18,None,\Unknown Album,,,Get Me Mine - da 6 acoustic demo,4,Get Me Mine,Full Song,Unknown Album,191,Rivers Cuomo,113,,c4e621ef5fd241998c20865ad8a7e3e9,Get Me Mine 2
Broken Man 3 @ 92,The Pacific Daydream Black Years,3.44,18,,,,,,2,,Sketch,The Pacific Daydream Years,114,,62,3,c75ed958515046129c2dcb7a5709a955,Broken Man 3 @ 92
affair,EWBAITE,3.44,9,None,\2 stars and below,,,,2,,Sketch,voice notes,116,Rivers Cuomo,108,,83de941fa6654b9c82bc5ef34fec9149,affair
I Found My Blood Today,The Green Years,3.44,9,None,\C.O.R_,,,I Found My Blood Today,2,I Found My Blood Today,Sketch,C.O.R_,58,Rivers Cuomo,118,,f28e82a1384d4b239fd5c06c5ec8a247,128 I Found My Blood Today
SAD FAIRY TALE - ROUGH 1 - SEPT 22,EWBAITE,3.44,9,None,\2 stars and below,,,,2,,Sketch,ideas--Used,68,Rivers Cuomo,62,,c86b6b16f989454a86d1faf6b7a3f4b8,SAD FAIRY TALE - ROUGH 1 - SEPT 22
411b,The Green Years,3.44,8,None,\The Maladroit Years\C.O.R_,,,,2.5,,Voice Memo with Guitar,C.O.R_,115,Rivers Cuomo,104,,1e725981040b4bf8bf1523a6ee69a9d0,411b
08 I Don't Want No Woman-Continued,Pre-Weezer,3.44,8,None,\1989 Cherokee Riffs Best of the Worst Vo,,,,1.5,I Don't Want No Woman,Acoustic,1989 Cherokee Riffs Best of the Worst Vo,141,Rivers Cuomo,118,,66b03342e47e405599a3d01c28bc403e,08 I Don't Want No Woman-Continued
3 Chains Of Gold 1 @95,The Pacific Daydream Black Years,3.43,22,,,,,,2.5,,Sketch,The Pacific Daydream Years,45,,95,1,d28a0b8816374ab88bd56875c9126cbd,3 Chains Of Gold 1 @95
Friday Feeling 4 @101,The Pacific Daydream Black Years,3.43,14,,,Medicine for Melancholy,,,4,Medicine for Melancholy,Full Song,The Pacific Daydream Years,231,,101,4,73134460a14640d8aac4da84f0cf9c91,Friday Feeling 4 @101
Alone In The Dark 3 edits,The White Years,3.43,14,None,,,,,3,Alone in the Dark,Sketch,The White Years,216,,104,,c091e6ddaa064e5ca5be3650107ae63e,Alone In The Dark 3 edits
Higgs Boson - v3,EWBAITE,3.43,7,None,\Demos--Previous Versions,,,Higgs Boson - v3,3,Higgs Boson,Full Song,Demos--Previous Versions,114,,72,3,1b3ccee9223d44508caefeef48080374,Higgs Boson 3
dictadroid4_2017_7_26_7_24_57,The Pacific Daydream Black Years,3.43,7,,\Work,,,,,,,Work,152,,100,,3a8e88ee6d4049c6aea1a17c7355ae2c,dictadroid4_2017_7_26_7_24_57
Kicking Back,EWBAITE,3.43,7,None,\2 stars and below,,,,2,,Sketch,EWBAITE,41,,68,,609aa10ab6e94b569bd8f982186c3a2a,Kicking Back
Simple Fisherman (Original Demo) - 2004-02-20,The Make Believe Years,3.43,7,None,\2004-02-13 SIR Preproduction - Week 3,,,Simple Fisherman (Original Demo) - 2004-02-20,2,Time Is Running Out,Full Song,2004-02-13 SIR Preproduction - Week 3,207,Rivers Cuomo,118,,e87bec5af0074dba9d774fe632154576,16 588 Simple Fisherman (Original De
why_won't_you_love_me_4_@135,The White Years,3.43,7,None,,,,,2,,Sketch,The White Years,116,Rivers Cuomo,68,,e9bfe7cc01e44305a184f3905705034a,why_won't_you_love_me_4_@135
Black White And Blue 2 @120 +1 AY 14,The Pacific Daydream Black Years,3.43,7,,\The Black Album,QB Blitz,,,2,,Sketch,Demos--Previous Versions,34,,120,2,0639e6f0bcaf41a1a00bfbdc20d41539,Black White And Blue 2 @120 +1 AY 14
Sammy and Robby 2 AU @76 +1,The Pacific Daydream Black Years,3.43,7,,\The Black Album,,,,2,,Sketch,The Black Album,91,,76,2,aad2aa075ed54c7490f9bd7a994efcae,Sammy and Robby 2 AU @76 +1
Almost Beautiful 4 verse melo @ 109,The Pacific Daydream Black Years,3.42,19,,,,,,3,,Full Song,The Pacific Daydream Years,149,,113,4,c3028635d35a478bae1d7453a12c14e7,Almost Beautiful 4 verse melo @ 109
peppermint 2 @159,The White Years,3.42,6,None,,,,,2.5,,Sketch,The White Years,30,,80,2,40860b160fc344e6bc2f45adef33f206,peppermint 2 @159
shangri la LOVE BEING ME 2,The Red-Raditude-Hurley Years,3.42,6,None,,,,Shangri La / Love Being Me - v2,2.5,Shangri La,Instrumental,The Red-Raditude-Hurley Years,180,,100,,cc23b2981bc74052873a0280f45b891b,shangri la LOVE BEING ME 2
why won't u get it together a1,EWBAITE,3.42,6,None,\2 stars and below,,,,1.5,Why Am I Getting So Upset,Sketch,voice notes,115,Rivers Cuomo,68,,21c28d102a91471788e407ae943d09f1,why won't u get it together a1
1765,The Pacific Daydream Black Years,3.41,27,,\Work,,,,,,,Work,45,,65,,324895c787ad48b49117bab9764f8d30,1765
02 Track 02,The Make Believe Years,3.41,16,None,\Unknown Album,,,,2.5,"Always, Forever",Instrumental,Unknown Album,206,,65,,d50d170da8c246a39b38371274a74dbf,02 Track 02
heart of hearts 3 @159,The White Years,3.41,11,None,,Peppermint,,,1.5,,Sketch,The White Years,30,,80,,e9c90f1021c6496086a6e17791a1e735,heart of hearts 3 @159
James o james 2012-08-05_17-06,EWBAITE,3.4,26,,,,,,3.5,James 'O James,Sketch,EWBAITE,64,Rivers Cuomo,65,,6ee9ab6349244e728c2b0031159f39c7,James o james 2012-08-05_17-06
Metropolis 3,The Pacific Daydream Black Years,3.4,15,,,,,,2,,Sketch,The Pacific Daydream Years,46,,115,3,14b525c271f147898ce79d1f5dc3e95d,Metropolis 3
You're Beautiful To Me - v10,The White Years,3.4,10,,\Unknown Album,,,You're Beautiful To Me - v10,3,You're Beautiful To Me,Full Song,Unknown Album,199,Rivers Cuomo,68,10,0722e33e8d224f1ca3fb047bef07f04a,You're Beautiful To me 10
31 verse and chorus_,The Green Years,3.4,5,None,\The Black Room\1998-06 Rivers's Sketch Tape,,,,3,,Voice Memo with Guitar,1998-06 Rivers's Sketch Tape,88,,93,,aeda509388fe4d53972bd1af46ae7516,31 verse and chorus_
Meet Up With Our Maker - v5,EWBAITE,3.4,5,None,,,,Meet Up With Our Maker - v5,3,Meet Up With Our Maker,Full Song,EWBAITE,227,,113,5,0666c71524534d8ebcacc8baab804e3a,Meet Up With Our Maker 5
366,The Green Years,3.4,5,,\The Maladroit Years\2 stars and below,,,,,,,C.O.R_,262,Rivers Cuomo,118,,b6dc87211aae48c9be87189f4517f21c,366
I Got Everything That I Need - v3 sketch,The White Years,3.4,5,,\Rivers Cuomo,,,I Got Everything That I Need - v3 sketch,2,,Sketch,Rivers Cuomo,39,Rivers Cuomo,115,3,0d6b472a431e4ace8aae6ef5fc2e9e14,I Got Everything That I Need 3 @115
On Holiday,The Green Years,3.4,5,None,\The Maladroit Years\2 stars and below,,,On Holiday,2,On Holiday,Voice Memo With Guitar,C.O.R_,308,,113,,f67698b9ca894e17b8f4865cf1c4520a,299 On Holiday
Say You Will,The Green Years,3.4,5,None,\The Maladroit Years\C.O.R_,,,Say You Will,2,Misstep,Voice Memo With Guitar,C.O.R_,159,Rivers Cuomo,113,,26fc243f1dfa401a856b3b5d1f4eca59,347 Say You Will
Supergirl - v1,EWBAITE,3.4,5,None,\2 stars and below,,,Supergirl - v1,2,Gravity Will Bring You Down,Full Song,Demos--Previous Versions,207,,100,,6b4ff1bf29224f8f8c896734caad04f8,Supergirl 1
Yahoo,The Green Years,3.4,5,None,\The Maladroit Years\2 stars and below,,,Yahoo,2,Yahoo,Voice Memo with Guitar,C.O.R_,243,Rivers Cuomo,113,,ed72993e5cb845a996b5952198cefeb8,387 Yahoo
Song From Yesterday - v2,The Green Years,3.4,5,None,\The Maladroit Years\2 stars and below,Possibilities,,Song From Yesterday - v2,1,Songs From Yesterday,Voice Memo With Guitar,C.O.R_,49,,93,,24411edc7ea64452b6b605e6f7eb52a5,308.2 Song From Yesterday
I'll Love You Every Day 11 no drum,The White Years,3.39,9,None,,Freak Flag,,I'll Love You Every Day - v11 no drum,2.5,I'll Love You Every Day,Full Song,The White Years,175,Rivers Cuomo,72,11,b4cfb65874384035b0b7d5048b96fe93,I'll Love You Every Day 11 no drum
Satisfied With You - 2005 demos,The Make Believe Years,3.38,13,None,\Unknown Album,,,Satisfied With You - 2005 demos,2,Satisfied With You,Full Song,Unknown Album,254,,108,,dc7b8e2d3b9c432889876cafb2e2630a,Satisfied with you
20170628_Untitled6,The Pacific Daydream Black Years,3.28,9,None,\Work,,,Friday Feeling Acoustic Sketch,2.5,Medicine for Melancholy,Sketch,Work,65,,100,,42772c661c1646e382092400b954f759,20170628_Untitled6
Next Life Time,The White Years,3.38,8,None,\Rivers Cuomo,,,,2,,Sketch,Rivers Cuomo,37,Rivers Cuomo,103,,dbb3200ff28041cf8ff605eb0532208f,Next Life Time
