title,bundle,fanRating
"Darling, I Think It's Time - 2002-10-13",The Green Years,4
Stupid Feelings,The Green Years,4
And If You Go It's Natural,The Green Years,4
Dream Warning,The Green Years,4
The Best Moment of My Life 3 @128,The White Years,4
tearing me apart piano 6_8,EWBAITE,4
Bayou 1 @112 -5 AX 15,The Pacific Daydream Black Years,4
Ain't Got Nobody - v5,EWBAITE,4
Anonymous - v26,EWBAITE,4
Baby Come Back 2003-05-21 (392),Patrick & Rivers,4
Bless The Whole World - v5,EWBAITE,4
Does Anybody Love Anybody - v11 NO D,The White Years,4
I'm Scared,The Green Years,4
Rock Star,The Red-Raditude-Hurley Years,4
Untenable,The Green Years,4
Working Man - v3,The White Years,4
dictadroid2_2014_12_4_16_25_21,The White Years,4
Don't You Criticize,The Green Years,4
Everyone - v2,The Green Years,4
Follow,The Green Years,4
Second Best Hugger In The World - v14 lyrics @160 +3,EWBAITE,4
Second Best Hugger In The World - v2,EWBAITE,4
Smiths Jamb v2,The Green Years,4
Song From Yesterday - v1,The Green Years,4
Take Your Life - v1,The Green Years,4
dictadroid28_2018_5_21_14_14_25,The Pacific Daydream Black Years,4
Voice Memo on Various EWBAITE Songs - 2014-7-14,EWBAITE,4
I Wish I Could Autotune My Face - v6,EWBAITE,4
I'm Gonna Crush You,The Green Years,4
Shining Star 16,Weezma,4
The Rules Of Life - v17,EWBAITE,4
The Waste Land - v5,EWBAITE,4
Turn Me 'Round,The Green Years,4
When Situations Piss You Off,The Green Years,4
You Lied To Us,The Green Years,4
384,The Green Years,4
Brians Theme - F minor piano sketch,EWBAITE,4
Flat Tire - v1,The Green Years,4
Possibilities - v2,The Green Years,4
Rock And Roll Cockroach - Rough 2 Instrumental,EWBAITE,4
Second Best Hugger In The World - v3,EWBAITE,4
????? Instrumental,The White Years,4
dictadroid7_2018_5_25_13_42_3,The Pacific Daydream Black Years,4
Piece of Cake 13 long verse melo @84 +2,The Pacific Daydream Black Years,4
Otis And The Corn,The Red-Raditude-Hurley Years,4
Two Broken Hearts 5 @132 -5,The Pacific Daydream Black Years,4
The British Are Coming - v49,EWBAITE,4
Voice Memo - Japanese Interview QQQ,The Red-Raditude-Hurley Years,4
24 Defeat on the Hill,The Blue-Pinkerton Years,3.98
Pacific Sunset 4 verse two and 6.8,The White Years,3.98
22 Money Makes Me Happy,The Blue-Pinkerton Years,3.97
Kilimanjaro 074,The Green Years,3.97
54 Now you say you wanna leave me,The Green Years,3.97
I Wanna Be With You - 2004-2-27,The Make Believe Years,3.97
Get Me Mine - v2,EWBAITE,3.97
16 evil little satriani groove,The Green Years,3.97
Beethoven Sonata No. 24 in F-sharp Major 2022-08-14,Piano,3.96
Crazy Rock 'n Rollers 3,Pre-Weezer,3.96
10 Crazy Rock n Rollers,Pre-Weezer,3.96
Show Me Who You Are (Triplet Melody) - 2004-04-23,The Make Believe Years,3.96
Why Am I Getting So Upset 10 ozma,EWBAITE,3.96
You Were A Man - SFTBH,The Blue-Pinkerton Years,3.96
I Wish I Could Autotune My Face - v3,EWBAITE,3.96
The Unofficials - v5 2,EWBAITE,3.95
El Presidente 5,Patrick & Rivers,3.95
In Pieces (fast and straight),The Red-Raditude-Hurley Years,3.95
10 My Day is Coming,The Red-Raditude-Hurley Years,3.95
High Hopes - v14,The White Years,3.95
Alpha-Beta,The Green Years,3.95
When You're Near Me - Monterey Jack,The Blue-Pinkerton Years,3.94
Hot Little Tramp.5 vso,The Red-Raditude-Hurley Years,3.94
Get Away - 2004-05-18,The Make Believe Years,3.94
Saturday Night Another CIty Dream,The Green Years,3.94
Anonymous - v2,EWBAITE,3.94
I Was Scared - 2003 Demos,The Make Believe Years,3.94
Sumeria 035,The Green Years,3.94
You're Beautiful To me 12,The White Years,3.94
I Swear To God 1 AW @118 -4,The Pacific Daydream Black Years,3.94
"Beethoven Sonata No. 13 in E-flat Major, 3. Adagio 4. Allegro 2022-07-24",Piano,3.93
You And Me Together - 2004-06-04,The Make Believe Years,3.93
Yer Fun To Play With - v2,The Green Years,3.93
121 Left Foot Down,The Green Years,3.93
Gravity Will Bring You Down - v9,EWBAITE,3.93
Empty Inside - v8,EWBAITE,3.93
Fake Smiles And Nervous Laughter - v7,The White Years,3.93
The British Are Coming - v6,EWBAITE,3.93
Does Anybody Love Anybody - v10 NO D,The White Years,3.93
Bells In My Head - v2 weezered,The White Years,3.93
Longtime Sunshine Reprise - SFTBH,The Blue-Pinkerton Years,3.92
Quick Picture 4,EWBAITE,3.92
The Average Person - 2004-07-20,The Make Believe Years,3.92
We Are The Indians - v7,EWBAITE,3.92
06 I Would Do,Pre-Weezer,3.92
Cleopatra - v12 1,EWBAITE,3.92
Real Life Friend - v8,EWBAITE,3.92
The Rules of Life,EWBAITE,3.92
Oh God I'm Hungry - SFTV,The Blue-Pinkerton Years,3.92
I Don't Want To Let You Go TPmm1,The Red-Raditude-Hurley Years,3.92
Sing My Blues Away - v5,EWBAITE,3.92
The British Are Coming - v14,EWBAITE,3.92
Break Me - 2004-05-18,The Make Believe Years,3.92
Call The Police 4,Patrick & Rivers,3.92
Cleopatra - v10,EWBAITE,3.92
Don't Mess With My Girl - v3,EWBAITE,3.92
Johnny Clash - v2,The White Years,3.92
Up In A Cloud - v24 Instrumental F,EWBAITE,3.92
It's Only In Your Head 19 kickin back @160 +2,The Pacific Daydream Black Years,3.92
Untitled1,The Pacific Daydream Black Years,3.92
08 Hey M'Darlin,Pre-Weezer,3.91
For What It's Worth,The Pacific Daydream Black Years,3.91
Johnny Clash 6 toothpick bridge @1,The White Years,3.91
Any Friend of Diane's 8 welcome verse @89,The Pacific Daydream Black Years,3.91
Only Just This Once - 2004-02-20,The Make Believe Years,3.91
A Long Way To Heaven 3,The White Years,3.91
It Feels Good (Finger Burns),The Green Years,3.91
2020-11-25 08.23-2,The Blue-Pinkerton Years,3.91
Nice Figuration Piano,EWBAITE,3.91
Dangling on the End of My String - SFTV,The Blue-Pinkerton Years,3.9
"Posessed, Obsessed",The Green Years,3.9
Any Friend of Diane's 7 og melody @88,The Pacific Daydream Black Years,3.9
Anonymous - v11,EWBAITE,3.9
J Is For Joy 2 piano @135 +4,The Pacific Daydream Black Years,3.9
Why Won't You Love Me 8 OG melody,The White Years,3.9
Anonymous - v18,EWBAITE,3.9
I Won't Let You Down - v7,EWBAITE,3.9
coda,The Pacific Daydream Black Years,3.9
Somewhere,The Green Years,3.9
Black White and Blue 8 same chords @ 120 +1-1,The Pacific Daydream Black Years,3.9
dictadroid10_2018_8_14_20_37_26,The Pacific Daydream Black Years,3.9
Too Many Thoughts In My Head 4 noc3 @126 +4,The Pacific Daydream Black Years,3.9
06 When You're Alone,The Blue-Pinkerton Years,3.89
Port O' Jonas - Don Slacks,The Blue-Pinkerton Years,3.89
my brain cbmix3,The Make Believe Years,3.89
Ballsy 2 2,EWBAITE,3.89
Friday Feeling 24 post @100,The Pacific Daydream Black Years,3.89
Simple Fisherman (Bgv In Bridge) - 2004-02-13,The Make Believe Years,3.89
They Are Stupid (Gtr Intro) - 2004-06-04,The Make Believe Years,3.89
The Rules Of Life - v3,EWBAITE,3.89
I Won't Let You Down - v8 1,EWBAITE,3.89
Anonymous - v4,EWBAITE,3.89
Empty Inside - v10,EWBAITE,3.89
Valley Forge 065,The Green Years,3.89
Everyday The Lights,The Green Years,3.89
Comin' Home (Left My Broken Heart in Carolina) - Monterey Jack,The Blue-Pinkerton Years,3.88
as hot as it gets 5 @128,The Pacific Daydream Black Years,3.88
2020-11-20 07.06,EWBAITE,3.88
I'm Lonely On A Saturday Night - SFTV,The Blue-Pinkerton Years,3.88
Charlie Brown - v1,EWBAITE,3.88
Coal Miner,The Green Years,3.88
Save Me - 2003 Demos 4,The Make Believe Years,3.88
Up In A Cloud - v23 Demo For Guys,EWBAITE,3.88
Anonymous - v28,EWBAITE,3.88
"Sonia, Sonia - SFTV",The Blue-Pinkerton Years,3.88
The Rules Of Life - v25,EWBAITE,3.88
Empty Inside 10,EWBAITE,3.88
"Peace, Love, And Understanding - 2003 Demos",The Make Believe Years,3.88
St. George - v2,EWBAITE,3.88
THE RULES OF LIFE 3 FOR RC,EWBAITE,3.88
Higher Power - 2003 Demos,The Make Believe Years,3.88
Can't Knock The Hustle 1 @100 -2 AZ 17,The Pacific Daydream Black Years,3.88
The British Are Coming - v16,EWBAITE,3.88
The British Are Coming - v37,EWBAITE,3.88
Cleopatra - v8,EWBAITE,3.88
I Needed You Now,The Green Years,3.88
I Won't Let You Down - v4,EWBAITE,3.88
Ever More,The Green Years,3.88
Everybody Let's Rock,The Green Years,3.88
Expatriate In LA 7,Weezma,3.88
Hippies - v7,EWBAITE,3.88
Open Your Arms 023,The Green Years,3.88
The Bulging River,The Green Years,3.88
There's A Lucky One,The Green Years,3.88
Too Good For Me - v3 1,EWBAITE,3.88
tense desperate piano 2,EWBAITE,3.88
51 Complimentary Coffee,The Green Years,3.87
My Bark is Worse Than My Bite (piano,The Red-Raditude-Hurley Years,3.87
"Beethoven Sonata No. 18 in E-flat Major, 3. Menuetto 4. Presto and Sonata No. 21 in C Major 2022-08-02",Piano,3.86
Boat On The Sea - v2,EWBAITE,3.86
Too Good For Me - v3 point 2,EWBAITE,3.86
Poor Me,The Make Believe Years,3.86
Where Do All The Kids Hang Out 4 verse melody @85,The Pacific Daydream Black Years,3.86
Fan Fiction 1 AS master_pw @86,Patrick & Rivers,3.86
"Beethoven Sonata No. 6 in F Major, 2. Menuetto-10",Piano,3.86
Shout It Out 058,The Green Years,3.86
The British Are Coming - v35,EWBAITE,3.86
The British Are Coming - v7,EWBAITE,3.86
No Bars - v7,EWBAITE,3.86
Garbage Can,The Green Years,3.86
Dirty Hands 2 ACE OF SPADES drum stem (timpani) @ 94,The Pacific Daydream Black Years,3.86
21 I Can't Break Your Heart Slow,The Blue-Pinkerton Years,3.85
06 Everybody Get Dangerous 2,The Red-Raditude-Hurley Years,3.85
Why Do We Hurt Each Other 2,Pre-Weezer,3.85
Why Am I Getting So Upset - v6,EWBAITE,3.85
The New Girl,EWBAITE,3.85
Her Name Is Kaylee 6 double post @120,The Pacific Daydream Black Years,3.84
Friday Feeling 23 cleanriff @100,The Pacific Daydream Black Years,3.84
07 Track 07,The Make Believe Years,3.83
Dead Man's Float - 2003 Demos,The Make Believe Years,3.83
Bone On Bone 4,EWBAITE,3.83
East Coast Or West Coast - v4 No,EWBAITE,3.83
I Was Just Being Honest,EWBAITE,3.83
The British Are Coming - v15,EWBAITE,3.83
Anonymous - v3,EWBAITE,3.83
Crazy Rock and Rollers 2,Pre-Weezer,3.83
Expatriates In Paris 2 we be,Weezma,3.83
Rest In Peace - v18,EWBAITE,3.83
Running Man,The Green Years,3.83
The Rules Of Life - v24,EWBAITE,3.83
Nice Aku Tune - 2014-10-23,EWBAITE,3.83
Speed Wax America,Patrick & Rivers,3.83
America_with_bridge_want_meant_to_happen_2018_3_14_11_42_27,The Pacific Daydream Black Years,3.83
hold_down_piano_Mello_2018_4_17_9_33_13,The Pacific Daydream Black Years,3.83
Two Broken Hearts 6 bass @132 -5,The Pacific Daydream Black Years,3.83
The British Are Coming - v11,EWBAITE,3.83
Cleopatra - v17,EWBAITE,3.83
Do You Wanna Get High 1,Weezma,3.83
Give Me Your Blessings,The Green Years,3.83
Shining Stars 8,Weezma,3.83
The Ivory Telephone - v2,EWBAITE,3.83
I Love This Band [Instr],The Green Years,3.83
Pretty Great Piano Melody 2-7-2013 8,EWBAITE,3.83
She Says It's Not Enough,The Green Years,3.83
Piece of Cake 11 @82 -3,The Pacific Daydream Black Years,3.83
Two Broken Hearts 5 more bgv @132 -5,The Pacific Daydream Black Years,3.83
03 Here Comes The Girl,The Red-Raditude-Hurley Years,3.82
20170612_Cali_Melody_verse,The Pacific Daydream Black Years,3.82
QB Blitz 3 drums @99,The Pacific Daydream Black Years,3.82
Superfriend Reprise - SFTBH,The Blue-Pinkerton Years,3.82
Stars Shine Bright (Goodnight),The Green Years,3.82
13 She's Had a Girl,The Blue-Pinkerton Years,3.82
Does Anybody Love Anybody - v9 Clip N instrumental,The White Years,3.82
Hospital Error,The Green Years,3.82
I'll Love You Every Day 8 @68,The White Years,3.82
"Beethoven Sonata No. 18 in E-flat Major, 2. Scherzo 2022-08-01_",Piano,3.81
Her Name Is Kaylee 5 verse @120,The Pacific Daydream Black Years,3.81
The Sweetest One Of All - 2004-02-20 3,The Make Believe Years,3.81
Untitled2,The Pacific Daydream Black Years,3.81
The Ivory Telephone - v1,EWBAITE,3.81
I Want To Take You Home Tonight - 2004-02-20,The Make Believe Years,3.81
"Beethoven Sonata No. 29 in B-flat Major, 2. Scherzo 3. Adagio 4. Largo Allegro 2022-08-23",Piano,3.8
I'm So Lonely - Parson Brown,The Blue-Pinkerton Years,3.8
Hey Nonbeliever 4,EWBAITE,3.8
Don't Give It up 1 beast drum AG @90,The Pacific Daydream Black Years,3.8
Ever Again - 2004-02-20,The Make Believe Years,3.8
Pacific Sunset 3 @123 lyrics,The White Years,3.8
The Rules Of Life - v27,EWBAITE,3.8
I Am An Indian - v2,EWBAITE,3.8
Bells In My Head - v5 here comes,The White Years,3.8
Everyone Knows You Came To Get Some,EWBAITE,3.8
Work 11-1-2013 16h18m38s,EWBAITE,3.8
The British Are Coming - v13,EWBAITE,3.8
2020-12-08 05.23,EWBAITE,3.8
Baby Come Back 2003-05-21 (392),Patrick & Rivers,3.8
Cleopatra - v11,EWBAITE,3.8
Codependent - v2,EWBAITE,3.8
o holy night PW demo (16378).mp3,Patrick & Rivers,3.8
Roommate 073,The Green Years,3.8
The British Are Coming - v16 For Rc,EWBAITE,3.8
The Tower Of Babel - v1,EWBAITE,3.8
Turn Me Around (Take 1),The Green Years,3.8
Wagamama - v2,EWBAITE,3.8
Why Am I Getting So Upset - v4,EWBAITE,3.8
good_times_verse_check_5 (1),The White Years,3.8
In Your Eyes,The Green Years,3.8
Let's Go To The 33rd Dimension - v8 BGV,EWBAITE,3.8
Mo Beats,The Green Years,3.8
Rave Up - v3 pro sketch,EWBAITE,3.8
Smiths Jamb v1,The Green Years,3.8
Stab In The Dark - Rough 1 Sept 7 Instrumental,EWBAITE,3.8
Superfan - 2012-11-26 acoustic sketch,EWBAITE,3.8
The Tower of Babel - great piano riff because the night,EWBAITE,3.8
Through Others Eyes,The Green Years,3.8
Running Red Lights 10 lead vox @98 +2,The Pacific Daydream Black Years,3.8
The Trouble With Trouble 1 @81 -5 BF 8,The Pacific Daydream Black Years,3.8
Go Leia 006,The Green Years,3.79
Any Friend of Diane's 4 angela verse @90,The Pacific Daydream Black Years,3.79
Friday Feeling 13 minor verse @104,The Pacific Daydream Black Years,3.79
And You Say You Want To Cry,The Green Years,3.79
Bless The World - v2,EWBAITE,3.79
dictadroid1_2015_4_7_13_53_27,The White Years,3.79
I'll Love You Every Day - 2015-3-27 acoustic sketch,The White Years,3.79
Keep Your Pants On 3,The Red-Raditude-Hurley Years,3.79
You Test The Water,The Green Years,3.79
Yahoo - 2004-02-27,The Make Believe Years,3.78
Sweet Talk,The Green Years,3.78
something special 1 @101,The Pacific Daydream Black Years,3.78
16 I Want to Take You Home Tonight,The Green Years,3.78
Sugar Cookie - v2,The Green Years,3.78
Neto,The Green Years,3.78
Bone On Bone 3,EWBAITE,3.77
Almost Beautiful 2 Happy Now @125,The Pacific Daydream Black Years,3.77
green preview 2021-12-07 08.11,The Green Years,3.77
You're Prettier Than You Think 2,The White Years,3.77
New Girl - 2012-11-14 acoustic sketch 2,EWBAITE,3.77
Superman 3,Pre-Weezer,3.77
something special 4 I thought I lay @102,The Pacific Daydream Black Years,3.76
09 My Bark is Worse Than My Bite,The Red-Raditude-Hurley Years,3.76
Mr Docksider - v2,The Green Years,3.76
as hot as it gets 4 @126,The Pacific Daydream Black Years,3.75
"Beethoven Sonata No. 8 in C Minor _Pathétique_ , 1. Allegro 2. Adagio-14",Piano,3.75
I Wanna' Be With You - 2004-02-20,The Make Believe Years,3.75
You Make Me Believe In God 5 @ 120,The White Years,3.75
Where Did Your Heart Go 6,Weezma,3.75
Any Friend of Diane's 9 dominos verse @89,The Pacific Daydream Black Years,3.75
Vibrator - 2013-10-7 acoustic sketch 2,EWBAITE,3.75
132_minor_piano_chorus_or_verse_2018_5_2_11_30_59,The Pacific Daydream Black Years,3.75
Empty Inside - v5,EWBAITE,3.75
Empty Nest - v6,EWBAITE,3.75
Turn Me Round edited,The Green Years,3.75
Anything But Love,The Green Years,3.75
Sports Team - v6,EWBAITE,3.75
The Best of Me - v5 2,EWBAITE,3.75
The Tower of Babel - v2,EWBAITE,3.75
Piece of Cake 18 @82 +0,The Pacific Daydream Black Years,3.75
Anonymous - v15,EWBAITE,3.75
Don't Show Me Your Body - v2,EWBAITE,3.75
Jimmy Mcfarlan - 2,The Green Years,3.75
Medicine 7,Weezma,3.75
Midwife,The Green Years,3.75
No Bars - v11,EWBAITE,3.75
The Best of Me - v4,EWBAITE,3.75
The Good News Channel - v4,EWBAITE,3.75
We Are The Indians - v5,EWBAITE,3.75
East Coast or West Coast - East VocUp,EWBAITE,3.75
Elaine - v7 here comes sketch,EWBAITE,3.75
Elaine - v8 rip sketch,EWBAITE,3.75
Everyone,The Green Years,3.75
Love Canopy - v2,The Green Years,3.75
Poor Beggar's Son,The Green Years,3.75
Rest In Peace - v21 Instrumental No Bass No Perc,EWBAITE,3.75
Riff,The Green Years,3.75
Simplest Guitar v1,The Green Years,3.75
You Are The One - piano sketch,EWBAITE,3.75
dictadroid2_2018_5_25_13_8_2,The Pacific Daydream Black Years,3.75
I fn lonely as shit 11 marimba @102 +3,The Pacific Daydream Black Years,3.75
It's Not the Same As It Was 15 production @117 -1,The Pacific Daydream Black Years,3.75
St. George - 2012-10-2 early acoustic,EWBAITE,3.75
03 Ain't Got No Words,Pre-Weezer,3.74
You Don't Have To Be Perfect For Me 4 @70 hip hop,The Pacific Daydream Black Years,3.74
Longtime Sunshine Vocals 2 - SFTBH,The Blue-Pinkerton Years,3.74
The Rules Of Life - v7,EWBAITE,3.73
Friday Feeling 12 dumdiddy.heyman.medicine @104,The Pacific Daydream Black Years,3.73
Don't Show Us Your Body - v6,EWBAITE,3.73
Simple Fisherman - 2004-02-20,The Make Believe Years,3.73
@96_on_the_beach_2015_2_26_15_12_41,The White Years,3.73
dictadroid8_2017_9_14_11_50_12,The Pacific Daydream Black Years,3.73
looking for a fight 2011,EWBAITE,3.73
Untitled2,The Pacific Daydream Black Years,3.73
"Beethoven Sonata No. 30 in E Major, 3. Gesangvoll 2022-10-26",Piano,3.73
Movie Theater,The Green Years,3.72
Beethoven Sonata No. 18 in E-flat Major 2022-10-02,Piano,3.71
04 The Answer Man,Pre-Weezer,3.71
Happy Anniversary 8 @160 vocals,The White Years,3.71
troublemaker strummy,The Red-Raditude-Hurley Years,3.71
Bender 2 @79.mp3,The Pacific Daydream Black Years,3.71
"Does Anybody Love Anybody - v9 Bridge, Sped Up, Acoustic & Electric",The White Years,3.71
Here Comes The Beard,The Red-Raditude-Hurley Years,3.71
No Bars - v6,EWBAITE,3.71
425 I IV ii V iii vi ii V,The Green Years,3.71
Do You Want To Get High - v13 never tired,The White Years,3.71
California Snow 2 sluggish playboy @71,The Pacific Daydream Black Years,3.71
Can't Knock The Hustle 2 @100 -2 AZ 19,The Pacific Daydream Black Years,3.71
Guiding Light chorus 3 drums @131,The Pacific Daydream Black Years,3.71
verse 2 second half vocal,The Pacific Daydream Black Years,3.71
He's My Sweetheart - Monterey Jack,The Blue-Pinkerton Years,3.7
08 Close Your Eyes and Give Me a Kiss,Pre-Weezer,3.7
Wedlock 4,The Pacific Daydream Black Years,3.7
Loveable Loser 3 @100,The Pacific Daydream Black Years,3.7
03 Spider Bitch,Pre-Weezer,3.7
Canon--Can't Stop The Party 2 - 2004-05-27,The Make Believe Years,3.7
You Look So Free,The Green Years,3.7
You Make Me Believe In God 6 @122,The White Years,3.7
Codependent - v12,EWBAITE,3.7
Codependent - v6,EWBAITE,3.7
Fake Smiles And Nervous Laughter - v6,The White Years,3.7
Down By The Tree - v4,The Green Years,3.7
Love Me - v2,EWBAITE,3.7
She's Just A Girl - acoustic sketch verse 4,The White Years,3.7
Steamroller Action,The Green Years,3.7
Fake Smiles - v4,The White Years,3.7
Get Me On The Line,The Green Years,3.7
Old School w3 4 Pink Melody,EWBAITE,3.7
Space Rock,The Green Years,3.7
two_broken_mod_bridge_2018_7_27_13_7_53,The Pacific Daydream Black Years,3.7
"Beethoven Sonata No. 22 in F Major, 1. Menuetto 2022-08-11",Piano,3.69
14 I Can't Forget the Way,Pre-Weezer,3.69
Ballsy,EWBAITE,3.69
Sports Team,EWBAITE,3.69
Friday Feeling 13 someone single @104,The Pacific Daydream Black Years,3.69
Punk Rock Girl Snippet - Monterey Jack,The Blue-Pinkerton Years,3.69
She Looks Like The Type Of Girl - sketch,EWBAITE,3.69
You've Got To Let Go Of Me - 2003 Demos 2,The Make Believe Years,3.69
Hey Nonbeliever - v2,The White Years,3.69
That's All I Ask 3 @128,The Pacific Daydream Black Years,3.68
17 These Things That You Do,The Red-Raditude-Hurley Years,3.68
"Beethoven Sonata No. 30 in E Major, 3. Andante and Beethoven Sonata No. 31 in A-flat Major, 1. Moderato 2022-08-25",Piano,3.68
Make Some Noise For That 2 --1 6 3 b6 5 piano @64,The Pacific Daydream Black Years,3.68
Freedom Is So Painful - 2003 Demos,The Make Believe Years,3.68
Higgs Boson - v2,EWBAITE,3.68
Memories (2008 edit) 2,The Red-Raditude-Hurley Years,3.68
Money Makes Me Happy - SFTV,The Blue-Pinkerton Years,3.67
15 Why Can't You Shut Your Mouth_,The Red-Raditude-Hurley Years,3.67
Beethoven Sonata No. 1 in F Minor 2022-08-31_,Piano,3.67
They Are Stupid - 2004-07-20,The Make Believe Years,3.67
Voice Memo on Various EWBAITE Songs - 2014-7-3,EWBAITE,3.67
08 Anything 4 You (Take 2),Pre-Weezer,3.67
I Can't Find The Words 6 high of,The White Years,3.67
The Rules Of Life - v19,EWBAITE,3.67
15 Ben Gay,Pre-Weezer,3.67
Better You - 2003 Demos,The Make Believe Years,3.67
Stand By My Side - 2003 Demos,The Make Believe Years,3.67
Remember Prom Night 15 bridge lyri,The White Years,3.67
Anonymous - v21,EWBAITE,3.67
Et Tu Brute - 2003 Demos,The Make Believe Years,3.67
Stronger (single chorus),The Red-Raditude-Hurley Years,3.67
Looking For A Fight - 2003 Demos,The Make Believe Years,3.67
People Watcher 3,The White Years,3.67
Please Don't Take Me Down - sketch,EWBAITE,3.67
Stupid Robot - 2004-06-03,The Make Believe Years,3.67
BA 7,The Pacific Daydream Black Years,3.67
no_one_you_know_2018_3_26_9_12_6,The Pacific Daydream Black Years,3.67
The Best of Me - v9 2,EWBAITE,3.67
Cleopatra - v18,EWBAITE,3.67
In Your Arms,The Green Years,3.67
Misunderstood,The Green Years,3.67
Shining Star 12,Weezma,3.67
Stand Up and Fight 055,The Green Years,3.67
Wanted To Know,The Green Years,3.67
You Wanna Be 039,The Green Years,3.67
2020-12-06 09.18,The Green Years,3.67
East Coast or West Coast - East VocMu,EWBAITE,3.67
East Coast or West Coast - West VocMu 1,EWBAITE,3.67
Lonely Man - 2005-06-29,The Red-Raditude-Hurley Years,3.67
Pachelbel Strum,The Green Years,3.67
We Are All We Have 4 stretch chorus @ 74 +1,The Pacific Daydream Black Years,3.66
1 4 aku jam out,EWBAITE,3.66
18 Oh God I'm Hungry,The Blue-Pinkerton Years,3.65
Bus Stop Baby - 2003 Demos,The Make Believe Years,3.65
I Need You 2 @129,The White Years,3.65
O.G.s 007,The Green Years,3.65
-9,EWBAITE,3.64
Stop Comparing Me To Him 1 @78 -3 BF 7,The Pacific Daydream Black Years,3.64
Superfan 17,Weezma,3.64
The Rules Of Life - v39 2,EWBAITE,3.64
385 2002-10-08 turn me round (with o,The Green Years,3.64
67 Disco Queen,The Green Years,3.64
Everything For Me - 2004-02-20,The Make Believe Years,3.64
The Life I Never Lived - v1 sketch,The Red-Raditude-Hurley Years,3.64
Untitled1 ewbaite,EWBAITE,3.64
Alligator 1 Nirvana AG @91,The Pacific Daydream Black Years,3.64
Inspired 8,EWBAITE,3.62
02 After The Bird Has Flown Out The,The Red-Raditude-Hurley Years,3.62
Beethoven Sonata No. 7 in D Major-12,Piano,3.62
Any Friend of Diane's 3 angela verse @90,The Pacific Daydream Black Years,3.62
Yer Fun To Play With 166,The Green Years,3.62
07 It Wouldn't Be Life,Pre-Weezer,3.62
Autopilot (sped up),The Red-Raditude-Hurley Years,3.62
I Don't Wanna Bust My Heart - C.O.R. TXX-12,The Green Years,3.62
"Beethoven Sonata No. 21 in C Major, 1. Allegro 2. Adagio 2022-10-04 (part 1)",Piano,3.62
I Was Scared No Tag - 2003 Demos,The Make Believe Years,3.62
The Rules Of Life - v44,EWBAITE,3.62
You're My Best Friend (voc intro) (c,The Make Believe Years,3.62
"Beethoven Sonata No. 29 in B-flat Major, 1. Allegro 2022-08-22",Piano,3.62
High As A Kite 1 @85 +5 AZ 13,The Pacific Daydream Black Years,3.62
Cleopatra - v24 og,EWBAITE,3.62
Sing My Blues Away - v7,EWBAITE,3.62
Cleopatra - v26,EWBAITE,3.62
Codependent - v7,EWBAITE,3.62
Codependent - v8,EWBAITE,3.62
Don't Show Us Your Bodies - v5,EWBAITE,3.62
I Won't Let You Down - v2,EWBAITE,3.62
I Won't Let You Down - v3,EWBAITE,3.62
Sing My Blues Away - v11,EWBAITE,3.62
The Rules Of Life - v2 Vso,EWBAITE,3.62
"All Around Me, Everywhere",The Green Years,3.62
Down By The Tree - v2,The Green Years,3.62
Down By The Tree - v3,The Green Years,3.62
Down By The Tree - v3b,The Green Years,3.62
Elaine - v9 fighters sketch,EWBAITE,3.62
Farmer John,The Green Years,3.62
I Wish I Could Autotune My Face - v2,EWBAITE,3.62
I Won't Let U Down - piano demo w bridge,EWBAITE,3.62
Robot Man,The Green Years,3.62
Second Best Hugger In The World - v1 1,EWBAITE,3.62
She's Just A Girl - acoustic sketch verse check 3,The White Years,3.62
The Life I Never Lived - v3,The Red-Raditude-Hurley Years,3.62
You Like to Beat and I Like to Bruise,The Green Years,3.62
You're Beautiful To me 7,The White Years,3.62
Beneath The Sun,The Green Years,3.62
classic_weezer_song_2014_2_23_10_54_,EWBAITE,3.62
Elaine - v9 post sketch,EWBAITE,3.62
"I Wanna Be Big, Bigger Than You - v2 song",The Green Years,3.62
Take Your Life - v2,The Green Years,3.62
Too Many Thoughts - Instrumental,EWBAITE,3.62
Almost Beautiful 7 penny arcade @110 +2,The Pacific Daydream Black Years,3.62
Arizona_2018_3_7_14_43_52,The Pacific Daydream Black Years,3.62
dictadroid3_2018_12_17_19_34_5,The Pacific Daydream Black Years,3.62
It's Not the Same As It Was 7 trip verse melo @118 -1,The Pacific Daydream Black Years,3.62
Too Many Thoughts In My Head 3 @126 +4,The Pacific Daydream Black Years,3.62
01 Autopilot 2,The Red-Raditude-Hurley Years,3.61
Friday Feeling 22 reggae @102,The Pacific Daydream Black Years,3.61
summer_Elaine_and_drunk_Dori 1,The White Years,3.61
Ain't Got Nobody - v6,EWBAITE,3.61
"62 dan , i thought you'd always be f",The Green Years,3.61
Sing My Blues - v1,EWBAITE,3.61
Looks Like It's Gonna Rain 7,The White Years,3.61
Broken Man 4 @ 92,The Pacific Daydream Black Years,3.6
01 Hello Men And Boys,Pre-Weezer,3.6
I Guess I Was a Fool,The Green Years,3.6
The Best Of Me - v1,EWBAITE,3.6
No Contact - 2004-06-03 Instrumental,The Make Believe Years,3.6
Rave Up - v1 Instrumental,EWBAITE,3.6
No Bars - v10,EWBAITE,3.6
Sing My Blues Away 16 No Drums,EWBAITE,3.6
The Rules Of Life - v29,EWBAITE,3.6
You Wanna Get High,The Green Years,3.6
